City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,285.38,77,96,3.53,SH,1718295943
1,yellowknife,62.456,-114.3525,290.6,56,40,2.06,CA,1718295706
2,adamstown,-25.066,-130.1015,293.01,63,3,4.36,PN,1718295944
3,murzuq,25.9155,13.9184,314.03,6,0,7.52,LY,1718295945
4,iqaluit,63.7506,-68.5145,276.0,81,100,7.2,CA,1718295945
5,manay,7.215,126.5397,297.37,82,92,2.56,PH,1718295946
6,meadow lakes,61.6247,-149.6011,283.14,85,75,0.0,US,1718295947
7,college,64.8569,-147.8028,286.52,85,75,4.63,US,1718295947
8,uturoa,-16.7333,-151.4333,299.49,78,24,7.79,PF,1718295948
9,hasaki,35.7333,140.8333,290.37,87,3,3.33,JP,1718295949
10,gargalianoi,37.0667,21.6333,306.12,51,98,2.84,GR,1718295949
11,jasper,37.2001,-94.3502,302.56,62,0,7.72,US,1718295859
12,solnechnyy,50.7214,136.6319,281.5,96,51,2.5,RU,1718295951
13,hassi messaoud,31.6804,6.0729,311.07,20,90,6.69,DZ,1718295951
14,las tablas,7.7667,-80.2833,303.01,71,85,2.09,PA,1718295952
15,port-aux-francais,-49.35,70.2167,275.65,71,86,8.89,TF,1718295953
16,whitehorse,60.7161,-135.0538,283.2,48,40,1.03,CA,1718295953
17,nova vicosa,-17.8919,-39.3719,299.08,69,58,4.62,BR,1718295954
18,oyama,36.3,139.8,297.36,67,37,1.23,JP,1718295954
19,codrington,-38.2667,141.9667,280.04,78,100,3.83,AU,1718295955
20,ushuaia,-54.8,-68.3,276.94,93,100,7.72,AR,1718295675
21,anadyr,64.75,177.4833,275.43,100,75,2.0,RU,1718295956
22,minas de marcona,-15.2119,-75.1103,290.92,54,18,3.17,PE,1718295957
23,bethel,41.3712,-73.414,302.23,51,0,2.57,US,1718295957
24,blackmans bay,-43.0167,147.3167,279.67,93,99,2.88,AU,1718295958
25,weno,7.4515,151.8468,299.12,89,100,1.54,FM,1718295959
26,margaret river,-33.95,115.0667,285.25,76,51,0.94,AU,1718295959
27,sanming,26.2486,117.6186,295.77,98,83,1.18,CN,1718295960
28,waitangi,-43.9535,-176.5597,282.49,72,78,6.67,NZ,1718295961
29,phan thiet,10.9333,108.1,301.24,78,33,0.21,VN,1718295961
30,puerto ayora,-0.7393,-90.3518,300.13,81,44,2.24,EC,1718295962
31,meadow lake,34.8014,-106.5436,306.95,25,1,5.59,US,1718295962
32,dornakal,17.45,80.1667,300.22,71,100,4.88,IN,1718295963
33,grytviken,-54.2811,-36.5092,272.63,98,100,6.32,GS,1718295963
34,thompson,55.7435,-97.8558,283.24,43,20,2.57,CA,1718295763
35,ust'-ilimsk,58.0006,102.6619,288.39,78,86,0.89,RU,1718295965
36,atar,20.5169,-13.0499,315.79,10,43,4.59,MR,1718295965
37,inhambane,-23.865,35.3833,294.14,73,40,1.54,MZ,1718295966
38,kodiak,57.79,-152.4072,281.88,81,100,3.09,US,1718295966
39,iskateley,67.6803,53.1512,288.72,64,100,4.92,RU,1718295670
40,bredasdorp,-34.5322,20.0403,286.15,89,17,2.45,ZA,1718295967
41,east london,-33.0153,27.9116,286.67,88,0,1.03,ZA,1718295910
42,cidreira,-30.1811,-50.2056,296.4,60,100,3.17,BR,1718295969
43,usinsk,65.9939,57.5281,289.86,76,99,4.02,RU,1718295850
44,praia da vitoria,38.7333,-27.0667,299.29,69,40,6.8,PT,1718295970
45,aistala,23.18,88.58,304.01,76,100,8.12,IN,1718295971
46,midvagur,62.0511,-7.1939,284.61,66,40,9.26,FO,1718295972
47,leh,34.1667,77.5833,283.49,32,5,2.69,IN,1718295972
48,albany,42.6001,-73.9662,300.75,56,95,1.11,US,1718295797
49,aasiaat,68.7098,-52.8699,273.98,82,97,2.32,GL,1718295974
50,vadso,70.0744,29.7487,281.64,81,40,6.69,NO,1718295974
51,nowa sol,51.8033,15.717,292.55,50,97,1.33,PL,1718295975
52,nelson bay,-32.7167,152.15,287.04,86,100,0.45,AU,1718295976
53,udachny,66.4167,112.4,287.84,79,100,7.58,RU,1718295850
54,dokuchayevs'k,47.7477,37.6738,300.4,35,0,5.54,UA,1718295977
55,invercargill,-46.4,168.35,279.27,98,100,4.92,NZ,1718295978
56,dzitbalche,20.3167,-90.05,305.51,54,100,1.85,MX,1718295979
57,dunedin,-45.8742,170.5036,280.26,97,100,0.98,NZ,1718295980
58,butte,39.6499,-121.5677,300.92,48,0,2.13,US,1718295980
59,wailua homesteads,22.0669,-159.378,296.59,83,40,5.14,US,1718295981
60,stettler,52.3168,-112.7186,287.45,64,1,5.45,CA,1718295982
61,petropavlovsk-kamchatsky,53.0452,158.6483,281.18,90,100,4.47,RU,1718295982
62,west island,-12.1568,96.8225,300.14,89,100,6.17,CC,1718295983
63,sao gabriel da cachoeira,-0.1303,-67.0892,302.04,79,75,2.06,BR,1718295983
64,puerto aysen,-45.4,-72.7,281.63,99,100,1.28,CL,1718295880
65,kohima,25.6667,94.1167,293.03,98,100,1.39,IN,1718295984
66,saint-philippe,-21.3585,55.7679,297.92,89,100,10.07,RE,1718295985
67,tofol,5.3248,163.0078,301.65,72,100,2.8,FM,1718295986
68,hawaiian paradise park,19.5933,-154.9731,294.28,94,100,2.06,US,1718295987
69,gillette,44.2911,-105.5022,296.3,25,0,2.57,US,1718295987
70,carnarvon,-24.8667,113.6333,293.74,59,77,6.1,AU,1718295988
71,juan griego,11.0817,-63.9655,303.37,60,98,5.38,VE,1718295989
72,callao,-12.0667,-77.15,297.83,77,100,4.12,PE,1718295990
73,isafjordur,66.0755,-23.124,290.17,45,0,4.12,IS,1718295990
74,borzya,50.3833,116.5167,283.48,77,37,3.37,RU,1718295991
75,privolzhsk,57.3808,41.2886,293.21,95,80,3.59,RU,1718295992
76,afaahiti,-17.75,-149.2833,296.08,83,94,7.58,PF,1718295993
77,rouissat,31.9243,5.3502,311.19,17,74,8.23,DZ,1718295993
78,geraldton,-28.7667,114.6,286.38,88,0,1.54,AU,1718295804
79,bereznik,62.8551,42.7072,288.39,71,100,0.61,RU,1718295995
80,fale old settlement,-9.3852,-171.2468,301.68,75,78,5.79,TK,1718295995
81,bajina basta,43.9708,19.5675,295.54,81,62,3.34,RS,1718295996
82,port lincoln,-34.7333,135.8667,287.07,88,95,4.88,AU,1718295997
83,san antonio de pale,-1.4014,5.6325,298.56,85,99,5.13,GQ,1718295998
84,port mathurin,-19.6833,63.4167,297.09,77,95,12.13,MU,1718295998
85,lebu,-37.6167,-73.65,286.15,90,100,8.96,CL,1718295981
86,mammoth lakes,37.6485,-118.9721,295.01,42,0,0.45,US,1718295727
87,northam,51.0333,-4.2167,286.85,90,100,12.82,GB,1718296000
88,muli,2.9167,73.5667,301.89,78,63,5.28,MV,1718296000
89,lihue,21.9789,-159.3672,296.92,76,40,5.14,US,1718296001
90,mineiros,-17.5694,-52.5511,301.1,27,0,5.89,BR,1718295947
91,hadibu,12.65,54.0333,303.01,62,39,5.41,YE,1718296003
92,port alfred,-33.5906,26.891,287.14,83,0,1.8,ZA,1718296003
93,ola,59.5833,151.2833,284.9,87,13,0.47,RU,1718296004
94,stanley,54.868,-1.6985,284.42,83,75,3.6,GB,1718295803
95,colonia,50.9333,6.95,294.8,36,0,3.09,DE,1718295746
96,atafu village,-8.5421,-172.5159,301.93,76,76,4.48,TK,1718295822
97,san patricio,28.017,-97.5169,306.2,55,0,0.76,US,1718296007
98,howrah,22.5892,88.3103,305.15,84,40,3.09,IN,1718296008
99,galveston,29.3669,-94.9669,305.95,78,40,3.09,US,1718295975
100,quang ngai,15.1167,108.8,299.81,85,100,1.46,VN,1718296010
101,haiku-pauwela,20.9219,-156.3051,295.51,76,20,6.26,US,1718296011
102,mount gambier,-37.8333,140.7667,279.24,79,100,2.09,AU,1718296011
103,namibe,-15.1961,12.1522,296.68,56,0,3.35,AO,1718296012
104,camapua,-19.5314,-54.0439,305.29,20,0,7.0,BR,1718296013
105,papatowai,-46.5619,169.4708,279.99,89,100,1.22,NZ,1718296013
106,kamiiso,41.8167,140.65,291.36,88,100,2.06,JP,1718296014
107,kodinsk,58.6881,99.1844,290.06,70,61,0.57,RU,1718296014
108,oroqen zizhiqi,50.5667,123.7167,283.76,98,100,1.75,CN,1718296015
109,saint george's,12.0564,-61.7485,303.97,70,20,6.69,GD,1718296016
110,natal,-5.795,-35.2094,304.51,62,40,5.66,BR,1718295844
111,puerto lempira,15.2667,-83.7667,304.23,66,40,1.03,HN,1718296017
112,nemuro,43.3236,145.575,281.94,98,100,4.86,JP,1718296018
113,taulaga,-11.0553,-171.0883,301.42,78,92,5.24,AS,1718296019
114,sinabang,2.4803,96.3801,300.46,80,99,1.86,ID,1718296019
115,ilulissat,69.2167,-51.1,275.16,87,75,2.57,GL,1718296020
116,cabo san lucas,22.8909,-109.9124,301.27,81,75,2.06,MX,1718296021
117,kiffa,16.6166,-11.4045,315.16,17,36,5.34,MR,1718296021
118,kamien pomorski,53.9685,14.7726,290.35,59,21,3.14,PL,1718296022
119,ribeira grande,38.5167,-28.7,297.37,78,75,4.63,PT,1718296023
120,grootfontein,-19.5667,18.1167,293.91,19,0,2.57,NA,1718296024
121,ryotsu-minato,38.0833,138.4333,291.54,92,6,1.6,JP,1718296024
122,jayapura,-2.5333,140.7,296.81,93,89,0.7,ID,1718296025
123,saipan,15.1355,145.701,301.54,78,40,5.66,MP,1718296026
124,rio verde,21.9333,-99.9833,301.55,44,100,1.89,MX,1718295775
125,along,28.1667,94.7667,295.48,97,99,0.19,IN,1718296027
126,tolanaro,-25.0319,46.9987,294.19,94,75,2.06,MG,1718296028
127,keflavik,64.0049,-22.5624,288.1,87,100,13.89,IS,1718296029
128,arraial do cabo,-22.9661,-42.0278,301.13,51,0,7.2,BR,1718296030
129,yuzhno-kurilsk,44.0306,145.8556,284.47,95,84,0.38,RU,1718296030
130,tsawwassen,49.018,-123.0817,290.2,70,18,1.54,CA,1718296031
131,qaqortoq,60.7167,-46.0333,279.5,67,0,1.01,GL,1718296031
132,al khaburah,23.9886,57.0984,308.9,45,75,3.85,OM,1718296032
133,filadelfia,39.9523,-75.1638,303.3,52,40,3.6,US,1718295866
134,susuman,62.7833,148.1667,285.36,60,100,7.15,RU,1718296033
135,dehdasht,30.7949,50.5646,306.33,12,0,2.64,IR,1718296034
136,tiksi,71.6872,128.8694,278.57,73,23,1.45,RU,1718296035
137,nizhniy kuranakh,58.8353,125.4869,282.4,93,36,2.05,RU,1718296035
138,nicoya,10.1483,-85.452,302.73,74,100,2.39,CR,1718296036
139,chilecito,-29.1619,-67.4974,304.07,8,15,17.2,AR,1718296037
140,klyuchi,52.2667,79.1667,294.08,65,96,2.96,RU,1718296037
141,bilibino,68.0546,166.4372,284.38,56,4,0.77,RU,1718296038
142,ronne,55.1009,14.7066,287.1,62,8,5.66,DK,1718296039
143,chonchi,-42.6128,-73.8092,285.99,97,99,1.75,CL,1718296040
144,smithers,54.7804,-127.1743,280.33,70,75,1.54,CA,1718296040
145,olonkinbyen,70.9221,-8.7187,274.72,90,43,4.48,SJ,1718296041
146,nieuw amsterdam,5.8833,-55.0833,301.52,77,44,3.09,SR,1718296042
147,el porvenir,13.7617,-87.3458,302.78,71,100,2.0,HN,1718296043
148,emmett,43.8735,-116.4993,297.24,30,0,1.89,US,1718296043
149,jinchang,38.4953,102.1739,295.33,39,100,4.67,CN,1718296044
150,marsh harbour,26.5412,-77.0636,300.8,82,100,8.51,BS,1718296045
151,manadhoo,5.7667,73.3833,302.01,77,22,6.57,MV,1718296045
152,hajin,34.6927,40.827,313.82,9,0,8.26,SY,1718296046
153,bukama,-9.2,25.85,300.56,34,0,1.67,CD,1718296046
154,badger,64.8,-147.5333,286.47,83,75,4.63,US,1718296047
155,labasa,-16.4167,179.3833,296.72,94,38,1.11,FJ,1718296047
156,truth or consequences,33.1284,-107.2528,307.28,13,0,2.57,US,1718296048
157,puerto natales,-51.7236,-72.4875,280.4,65,75,14.4,CL,1718296049
158,manokwari,-0.8667,134.0833,299.29,84,99,3.88,ID,1718295970
159,nuuk,64.1835,-51.7216,279.49,61,20,4.63,GL,1718296050
160,carrigaline,51.8117,-8.3986,291.01,63,75,6.17,IE,1718296051
161,punta arenas,-53.15,-70.9167,278.21,81,40,15.43,CL,1718296052
162,newquay,50.4132,-5.0819,287.39,100,75,9.26,GB,1718296052
163,lorengau,-2.0226,147.2712,299.41,83,99,0.41,PG,1718296053
164,longyearbyen,78.2186,15.6401,277.06,70,40,8.75,SJ,1718295926
165,hamilton,39.1834,-84.5333,302.59,46,0,3.09,US,1718295871
166,pahlgam,34.0333,75.3333,283.34,74,91,3.64,IN,1718296055
167,port elizabeth,-33.918,25.5701,288.88,89,0,1.54,ZA,1718296056
168,avarua,-21.2078,-159.775,295.18,83,20,2.06,CK,1718296057
169,nova sintra,14.8667,-24.7167,295.95,83,100,10.13,CV,1718296057
170,buka,40.8108,69.1986,297.56,23,45,4.39,UZ,1718296058
171,brookings,44.3114,-96.7984,294.88,88,20,0.0,US,1718296059
